word,translation
remarkable,adj.非凡的，引人注目的
emergency,n.紧急情况
modern,adj.现代的
heal,v.治愈
quite,adv.很，相当
startle,v.惊吓
admission,n.准入
tennis,n.网球
ours,pron.我们的
invent,v.发明，创造
slave,n.奴隶
manufacture,v.生产
pension,n.养老金
summer,n.夏季
call,v.称呼
basin,n.盆
average,adj.平均的
tiger,n.老虎
strive,v.努力，奋斗，力求
owner,n.主人，物主
redundant,adj.被裁减的
peer,n.同辈
touch,n.触觉
retrospect,n.回顾
perceive,v.意识到
passerby,n.过路人，行人
hang,v.悬挂
partial,adj.部分的
flower,n.花
courtyard,n.庭院，院子
personality,n.个性
kingdom,n.王国
skin,n.皮
spectrum,n.光谱，波谱
fortnight,n.两周
while,conj.当…的时候
confident,adj.确信的，有把握的，自信的
romantic,adj.浪漫的
magnitude,n.巨大，重大
staple,adj.基本的
inherent,adj.内在的，固有的，本性的
poisonous,adj.有毒的
hinder,v.阻碍，妨碍
tend,v.倾向于
tropic,n.回归线
craft,n.工艺
negligible,adj.微不足道的，不值一提的
shiver,v.战栗，发抖
scheme,n.计划
comprise,v.由…组成
grave,n.坟墓
duplicate,v.复制
dictation,n.听写
overwhelm,v.使不知所措
criticism,n.批评，指责
strengthen,v.加强，巩固
privacy,n.隐私
privilege,n.特惠
dream,n.梦
gloomy,adj.昏暗的
classify,v.分类，归类
overturn,v.推翻
golden,adj.金的
aesthetic,adj.审美的
sprout,v.发芽
intrinsic,adj.内在的，本质的，固有的
poem,n.诗
conclude,v.得出结论
dine,v.吃饭，进餐
subtle,adj.微妙的
ally,v.与…结盟
salesman,n.（男）售货员
exhaust,v.使精疲力竭
semiconductor,n.半导体
worthwhile,adj.值得的，有价值的
trick,v.欺骗，欺诈
wish,n.祝福
rectify,v.纠正
cloudy,adj.多云的
start,v.开始
main,adj.主要的，最重要的
slender,adj.修长的，纤细的，微薄的
feat,n.功绩
archive,n.档案
discard,v.抛弃
bar,n.酒吧
morning,n.早上，上午
consent,n.同意，赞成
flash,v.闪光，闪现
new,adj.新的
defect,n.缺点，缺陷
genuine,adj.真正的
debt,n.债务
impatient,adj.不耐烦的
smash,v.打碎
pressure,n.压力
gas,n.气体
bomb,n.炸弹
tenant,n.租户，房客
regular,adj.有规律的
congress,n.代表大会
plant,n.植物
piece,n.块，片
remember,v.记得
neglect,v.疏忽，疏漏，忽视
recede,v.渐渐远去
instinct,n.直觉，本能，天性
pave,v.铺路
notice,n.注意，通知，布告
ready,adj.准备好的
glacier,n.冰川
edible,adj.可食用的
seldom,adv.很少，难得
valid,adj.有效的
gay,adj.同性恋的
unique,adj.独一无二的
margin,n.差额
bunch,n.束
postage,n.邮费
humanity,n.人类
jog,v.慢跑
automobile,n.汽车
moment,n.片刻，瞬间
allow,v.允许
incidence,n.发生率
veil,n.面纱，面罩
lecture,n.讲座，讲课
displace,v.取代
boundary,n.分界线
hundred,num.一百
reptile,n.爬行动物
enable,v.使可能
poster,n.海报
disclose,v.泄漏
keep,v.保持
hierarchy,n.等级制度
worldwide,adv.遍及全世界，世界各地地
shrug,v.耸肩
ladder,n.梯子
tiny,adj.极小的，微量的
paw,n.爪子
access,n.访问，存取
identical,adj.完全相同的
component,n.组成部分
finally,adv.终于
reliance,n.信赖，依靠
safeguard,v.保护
grateful,adj.感激的，感谢的
disorder,n.杂乱
elapse,v.（时间）流逝
realistic,adj.现实的
junk,n.垃圾食品
princess,n.公主
rally,n.群众大会
mission,n.任务，使命
locate,v.确定…的位置
harm,n.伤害，损害
wound,n.伤口
junior,adj.级别低的
glory,n.荣誉，光荣
nice,adj.令人愉快的，美好的
fast,adj.快的
crash,n.撞车，坠机
delicate,adj.易受损的
acquire,v.获得
rust,n.铁锈
sufficient,adj.足够的，充足的
spelling,n.拼写，拼法
coherent,adj.连贯的
riot,n.暴乱
traffic,n.交通
third,ord.第三
visa,n.签证
integrity,n.正直，诚实
dislike,v.不喜欢
database,n.数据库
remainder,n.剩余物，剩余部分
evident,adj.明显的
implication,n.可能的影响
neutral,adj.中立的
linear,adj.直线的
snobbish,adj.势利的
pact,n.协定，条约，公约
reckon,v.认为
affect,v.影响
convert,v.转变
jet,n.喷气式飞机
rest,n.其余部分
namely,adv.即，也就是
utilize,v.利用，使用
Monday,n.星期一
prevent,v.预防
ballet,n.芭蕾
outlet,n.出口
stable,adj.稳定的
record,n.唱片
score,n.得分
shore,n.海岸，河岸，湖滨
variable,adj.易变的，多变的
tongue,n.舌头
institution,n.机构
small,adj.小的
raise,v.提升
curious,adj.好奇的
explosive,adj.易爆炸的
expertise,n.专门知识，专门技能
meaning,n.意思
appendix,n.附录
vicinity,n.周围地区，邻近地区，附近
spare,adj.多余的
bind,v.捆绑
proceedings,n.诉讼
adhere,v.黏附，附着
thirsty,adj.口渴的
through,prep.穿过
participant,n.参与者，参加者
dwell,v.居住
his,det.他的
skilled,adj.熟练的
surplus,n.过剩
somewhat,adv.稍微，有点
merit,n.优点，功绩，长处
term,n.术语
fearful,adj.可怕的
setback,n.倒退
naked,adj.裸体的
sore,adj.酸痛的
nominal,adj.名义上的
explore,v.探险
cricket,n.板球运动
attach,v.系牢
owe,v.欠（钱）
jar,n.罐子
bit,n.稍微，小量
eighty,num.八十
heir,n.继承人
operation,n.手术
amateur,adj.业余的
medicine,n.药
complete,adj.完全的
offend,v.冒犯
mug,n.马克杯，大杯
imagination,n.想象
spark,n.火花
cow,n.母牛
congratulation,n.祝贺，恭喜
sand,n.沙子
compliment,n.赞扬
embed,v.把…嵌入
color,n.颜色
envisage,v.想象，设想
ignite,v.燃烧，点燃
precise,adj.精确的
dive,v.潜水
flat,adj.平的
indispensable,adj.不可或缺的
protect,v.保护
prove,v.证明，证实
wrap,v.包，裹
crime,n.犯罪行为
intelligent,adj.聪明的
ease,n.容易
destruction,n.摧毁，毁灭
gown,n.女式礼服
waist,n.腰
stagnate,v.停滞
principle,n.道德原则
bird,n.鸟
progressive,adj.进步的
scarcely,adv.刚刚
nail,n.指甲
wonderful,adj.精彩的，绝妙的
face,n.脸
funeral,n.葬礼
vegetarian,n.素食主义者
reclaim,v.开垦
bound,adj.必然的
join,v.加入
thunder,n.雷声
ruler,n.统治者
parcel,n.包裹，邮包
divine,adj.神的
boat,n.小船，汽艇
visible,adj.明显的
gaze,v.凝视，注视
simply,adv.仅仅
message,n.信息，消息
highly,adv.非常
loom,v.隐约出现
rid,v.使摆脱
pilot,adj.试验性的，试点的
retire,v.离开
footstep,n.脚步声
course,n.课程
daughter,n.女儿
worm,n.蠕虫
enquiry,n.询问
underneath,prep.在…下面
rocket,n.火箭
problem,n.难题
abroad,adv.到国外，在国外
show,v.表明
arbitrary,adj.任意的
thrive,v.兴旺，繁荣，茁壮成长
wheat,n.小麦
lord,n.贵族
regime,n.政权
hospitality,n.殷勤款待，好客
push,v.推
purify,v.使纯净
queen,n.女王
inch,n.英寸
governor,n.州长，省长
painter,n.画家
infrastructure,n.基础建设，基础设施
follow,v.跟随
talk,n.谈话
ugly,adj.丑陋的
contribution,n.贡献
clay,n.黏土，陶土
lead,v.带路
amplify,v.放大，增强
vapour,n.蒸汽
semester,n.学期
dirty,adj.肮脏的
widow,n.寡妇，遗孀
grind,v.磨碎
atmosphere,n.大气（层）
goat,n.山羊
scenery,n.风景
subscribe,v.订阅
alarm,n.闹钟
descent,n.下降
force,n.力，力量
violence,n.暴力，暴行
marble,n.大理石
sleeve,n.袖子
bypass,n.旁路
drawer,n.抽屉
optimistic,adj.乐观的，乐观主义的
left,adj.左边的
reservoir,n.水库
deed,n.行为
delete,v.删除
supermarket,n.超市
contagious,adj.接触传染的
analytic,adj.分析的
canvas,n.帆布
tell,v.告诉
tea,n.茶叶，茶水，茶点
ability,n.能力
flee,v.逃离，逃避
draw,v.画
forever,adv.永远地
remedy,n.解决方法
expenditure,n.花费
west,adj.西方的，向西的，西部的
nominate,v.提名
heavy,adj.重的
spider,n.蜘蛛
relative,adj.相对的
proud,adj.自豪的
damn,v.批评，谴责
maybe,adv.也许，或许，可能
county,n.郡，县
resource,n.财力
brutal,adj.残忍的，野蛮的
flourish,v.繁荣
royal,adj.王室的，皇家的
ant,n.蚂蚁
sweater,n.毛衣
fun,n.乐趣
trim,v.修剪
down,adv.向下
coffee,n.咖啡
deceit,n.欺骗
fund,n.基金
blast,n.爆炸
mess,n.脏乱
allegiance,n.拥护
burden,n.负担，重负
stiff,adj.僵硬的
emperor,n.皇帝
real,adj.真实的
affair,n.事情，事件
refusal,n.拒绝
same,adj.同一的
package,n.包裹
mechanic,n.技工，机械师
distance,n.距离
radiate,v.辐射
wicked,adj.邪恶的
shortage,n.不足，短缺
reciprocal,adj.互惠的，相互的
invitation,n.邀请
requirement,n.必要条件
remain,v.保持，仍是
waterproof,adj.防水的
mount,v.登上
oppose,v.反对，阻挠，抵抗
although,conj.虽然，尽管
apart,adv.相隔
era,n.时代
bachelor,n.单身汉
discourage,v.使气馁，使灰心
Celsius,n.摄氏度
missile,n.导弹
terror,n.恐惧
tent,n.帐篷
found,v.创办
ascribe,v.把…归因于
transmit,v.传送
visitor,n.来访者，参观者，游客
tomb,n.坟墓
utmost,adj.最大的，极度的
abound,v.大量存在
heap,n.一堆
correct,adj.准确无误的
scenario,n.设想
attitude,n.态度，看法
kindness,n.善良，宽容
cart,n.运货马车
brace,v.做准备
likelihood,n.可能性
horizontal,adj.水平的，横的
evacuate,v.疏散
electricity,n.电，电能
rise,n.增加
academy,n.学院，研究院
nickel,n.镍
vital,adj.至关重要的
least,det.最小的，最少的，最低程度的
beverage,n.饮料
vibrate,v.振动，颤动
finance,n.资金
wipe,v.擦，拭
one,num.一
lap,n.大腿部
successor,n.继任者
insight,n.深刻的见解
theme,n.主题
zeal,n.热情，热忱
economical,adj.经济实惠的
hire,v.租借
trail,n.踪迹，痕迹
umbrella,n.伞
imminent,adj.即将发生的，临近的
fortune,n.运气
borrow,v.借
serve,v.服务
wife,n.妻子
thermal,adj.热的
closet,n.储藏室
affluent,adj.丰富的
intention,n.意图，目的
seal,v.封住
partly,adv.一定程度上，部分地
brilliant,adj.聪明的
earth,n.地球
mistress,n.情妇
approve,v.赞成
weight,n.重量
huge,adj.巨大的，极多的
accustom,v.习惯于
equator,n.赤道
explicit,adj.清楚的
overtake,v.超过
maintain,v.维持
candidate,n.申请人
bewilder,v.使迷惑
wonder,v.想知道
intersection,n.十字路口
nearly,adv.几乎，将近，差不多
ignorant,adj.无知的，愚昧的
giggle,v.咯咯地笑，傻笑
streamline,v.使成流线型
import,v.进口，引进
butterfly,n.蝴蝶
forth,adv.向前
quantify,v.量化
provide,v.提供
double,adj.两倍的
pioneer,n.先驱
stay,v.保持
internal,adj.内部的
rejoice,v.高兴，喜悦
submarine,n.潜水艇
apartment,n.公寓
likewise,adv.同样地，类似地
clarity,n.明确
enthusiastic,adj.热情的，热心的
downward,adj.下降的，向下的
hardship,n.艰难，困苦
benefit,n.好处
strict,adj.严格的
operator,n.操作人员
green,adj.绿色的
succession,n.一连串
important,adj.重要的，影响很大的
soccer,n.足球
outdoor,adj.户外的
expel,v.开除
but,conj.但是
refine,v.精炼
music,n.音乐，乐曲
refuse,v.拒绝
electron,n.电子
contemporary,adj.当代的
compulsory,adj.强制的，义务的
itself,pron.它自己
trivial,adj.琐碎的，无价值的，不重要的
boss,n.老板
shed,n.棚屋
destructive,adj.破坏性的，毁灭性的
characteristic,n.特性，特点
keen,adj.渴望的
opinion,n.意见，看法，观点
invest,v.投资
mend,v.修补
restaurant,n.餐厅
translation,n.翻译，译文
trait,n.特征，特点
underground,adj.地面下的
concept,n.观念，概念
raw,adj.生的
healthy,adj.健康的
discovery,n.发现
quote,v.引用
hearing,n.听力
brave,adj.勇敢的
decision,n.决定
exotic,adj.外来的
north,adj.北方的，向北的
polite,adj.有礼貌的，客气的
grief,n.悲伤
dial,n.刻度盘
coronavirus,n.冠状病毒
obvious,adj.明显的
especially,adv.尤其，非常
bless,v.祝福
tree,n.树，树木
countryside,n.乡村，农村
stitch,n.针脚
convince,v.使确信，使信服
detect,v.发现，察觉
preposition,n.介词
setting,n.环境
morality,n.道德，道德准则
settlement,n.解决
abuse,n.滥用
from,prep.从，来自，由…
debut,n.初次亮相
facility,n.设施
pearl,n.珍珠
desirable,adj.理想的，值得拥有的
hatch,v.孵出
resolution,n.决心
document,n.文件
token,n.象征，标志
norm,n.常态
paragraph,n.段落
scar,n.伤疤
impression,n.印象
her,pron.她
complaint,n.抱怨
permission,n.批准
nurture,v.养育，培养
except,conj.除了，只是
escape,v.逃跑
theft,n.盗窃
savage,adj.凶恶的
hormone,n.荷尔蒙，激素
wooden,adj.木制的
veteran,n.退伍军人
limit,n.限制，限度，极限
division,n.分开
tip,n.尖端
transit,n.过境，中转
current,n.水流，气流，电流
nearby,adj.附近的，邻近的
plea,n.恳求
dental,adj.牙科的
turn,v.旋转
rent,n.租金
gender,n.性别
modify,v.调整，修改
king,n.国王
lean,v.倾斜身体
phase,n.时期
dig,n.挖
measure,v.测量
rouse,v.唤醒
heritage,n.遗产
identify,v.认出，确认
prevalent,adj.流行的，普遍的
colony,n.殖民地
immediate,adj.立即的
success,n.成功，胜利
long,adj.长的
dye,v.给…染色
fence,n.栅栏，篱笆
missing,adj.找不到的，失踪的
assignment,n.任务
mill,n.磨粉机
nothing,pron.没有什么
delivery,n.投递
promising,adj.有希望的，有前途的
cabbage,n.卷心菜
herb,n.药草，香草
being,n.存在
champagne,n.香槟
pitch,n.球场
diligent,adj.勤奋的，勤勉的
almost,adv.几乎，差不多
celebrate,v.庆祝
insure,v.投保
nervous,adj.焦虑的
parameter,n.参数
root,n.根
cube,n.立方体
stomach,n.胃
temporal,adj.世俗的
arm,n.手臂
perfume,n.香味，芳香
joke,n.笑话，玩笑
tempo,n.速度
adverb,n.副词
territory,n.领土，领地
diagram,n.图解，图表
care,n.照顾
ventilate,v.使通风
deficiency,n.缺乏，不足
bibliography,n.系列书目，参考书目
burglar,n.窃贼
articulate,v.明确表达
vaccine,n.疫苗
diabetes,n.糖尿病
presumably,adv.推测起来，大概
specify,v.明确说明，具体指定
anyhow,adv.不管怎样
pleasant,adj.令人愉快的
reply,n.答复，回答
cape,n.斗篷，披肩
artery,n.动脉
belt,n.皮带
physiology,n.生理（机能）
cope,v.应付，处理
honor,n.荣幸
temper,n.脾气
realize,v.意识到
enlarge,v.扩大
master,n.硕士
badge,n.徽章
ocean,n.海洋，大海
surprise,n.惊奇
club,n.俱乐部
commodity,n.商品，货物
undo,v.解开
upgrade,v.升级，改进
endure,v.忍耐
specification,n.规格
tax,v.对…征税
wrist,n.手腕，腕关节
intervene,v.干预
sofa,n.沙发
layoff,n.解雇，裁员
volume,n.体积，容量
amaze,v.使惊奇
ceiling,n.天花板
daylight,n.日光，白天
blueprint,n.蓝图
nuisance,n.麻烦事，讨厌的人
clothes,n.衣服，服装
repel,v.击退
payment,n.支付
trumpet,n.喇叭，小号
drastic,adj.激烈的
load,v.装上
baseball,n.棒球
argue,v.争论
frank,adj.坦白的，直率的
that,det.那，那个
recover,v.恢复
ice,n.冰
total,adj.全部的，总计的
pill,n.药丸，药片
none,adv.绝不，不怎么
bloody,adj.残暴的
ache,n.疼痛
salt,n.盐
conceive,v.想象，构想
convention,n.习俗，惯例
oblige,v.强迫
departure,n.离开，出发
panic,v.使惊慌
flight,n.航班
aid,n.帮助
reconcile,v.使和谐一致
collaborate,v.合作，协作
hum,v.哼（曲子）
close,adj.近的
apparent,adj.明显的
profile,n.侧面像
applaud,v.鼓掌
cup,n.杯子
principal,n.校长
sovereign,adj.有主权的
social,adj.社会的
continuous,adj.连续的
content,adj.满足的，满意的
particle,n.颗粒
top,adj.顶端的
different,adj.不同的，各种的
rain,n.雨，雨水
china,n.瓷器，瓷料
vinegar,n.醋
censorship,n.审查
priority,n.优先考虑的事
handy,adj.易使用的，便利的
chorus,n.合唱团
should,aux. v.应该
gross,adj.总的，粗略的
filter,v.筛选
hobby,n.业余爱好
quiver,n.颤抖
metropolitan,adj.大城市的，大都会的
fireplace,n.壁炉
hose,n.软管
cash,n.现金
evening,n.晚上
farther,adj.更远的
pan,n.平底锅
dessert,n.餐后甜点
license,n.许可证，执照
rot,n.腐烂
myth,n.神话
extreme,adj.极度的
bright,adj.明亮的
anybody,pron.任何人
him,pron.他
snack,n.快餐
guy,n.男人，小伙子
fuss,v.（为小事）烦恼
carbon,n.碳
person,n.人，个人
monarch,n.君主，帝王
crust,n.面包皮
used,adj.适应，习惯于…的
tear,n.眼泪
e-mail,n.电子邮件
bottom,adj.底部的，尽头的
nor,conj.也不，也没有
capacity,n.容量
dead,adj.死的
alternate,v.交替
poll,n.民意调查
sum,n.金额
hardly,adv.几乎不
peep,v.偷看
class,v.分类，归类
realm,n.领域
select,v.选择，挑选
acquaintance,n.熟人
patience,n.耐心
return,n.返回
heaven,n.天堂
wise,adj.充满智慧的，明智的，英明的
church,n.教堂
beat,n.敲，击
confusion,n.困惑
humble,adj.谦卑的
establish,v.建立
scarf,n.围巾
decorate,v.装饰，装修
kilo,n.千克，公斤
pollute,v.污染，弄脏
scandal,n.丑事，丑闻
fleet,n.舰队
breast,n.乳房
basis,n.基础
random,adj.随机的
sheep,n.羊
recollect,v.回忆，想起
possession,n.拥有
hunger,n.饥饿
behave,v.表现
pure,adj.纯净的
stone,n.石头
further,adv.更远地
bear,v.承受，忍受
possible,adj.可能的
leaf,n.叶子
terrible,adj.可怕的
rich,adj.富有的
truck,n.卡车，货车
plug,n.插头
faint,adj.微弱的
round,adj.圆的
elder,adj.年纪较长的
situation,n.情况，形势
curl,v.卷曲
instruction,n.教授
script,n.剧本
when,adv.什么时候
meet,v.相遇
history,n.历史
musical,adj.音乐的
original,adj.原来的
agriculture,n.农业
sportsman,n.运动员
horizon,n.地平线
punch,n.一拳
layout,n.布局，排版，设计
opaque,adj.不透明的
unite,v.联合，团结，统一
watch,v.观看，观察
patrol,n.巡逻（队）
list,n.清单，名单
optimum,adj.最优的，最佳的
arena,n.竞技场
reed,n.芦苇
inaugurate,v.为…举行就职典礼
impart,v.告知，传授
dove,n.鸽子
economy,n.经济（制度）
marathon,n.马拉松赛跑
literacy,n.识字，有读写能力
concert,n.音乐会，演奏会
plate,n.盘子，碟子
veto,v.否决
statement,n.陈述
fabulous,adj.绝妙的
foam,n.海绵橡胶
tame,adj.驯化的
they,pron.他们，她们，它们
farm,n.农场
struggle,v.努力
mayor,n.市长
sink,v.下沉
inside,adj.内部的
hostile,adj.怀有敌意的
menu,n.菜单
suffer,v.遭受
pavement,n.人行道
date,n.日期
bond,n.纽带
puff,n.吸气
junction,n.交叉路口，汇合处
hers,pron.她的
check,v.检查
sex,n.性
centimetre,n.厘米
rapid,adj.迅速的
diary,n.日记
actor,n.（男）演员
sail,n.帆
love,n.爱
circular,adj.圆形的
he,pron.他，它
adult,n.成年人
obedience,n.服从，顺从
tolerant,adj.容忍的，宽容的
gadget,n.小器具，小装置
sibling,n.兄弟姐妹
contain,v.包含
loosen,v.放松
beg,v.乞讨
commercial,adj.商业的
inflict,v.使遭受，施加，造成 (伤害等)
architecture,n.建筑学
colleague,n.同事，同僚
assistance,n.帮助
dedicate,v.致力于，献身
location,n.地点，位置
scrape,v.刮掉
tin,n.锡
anonymous,adj.匿名的
billion,n.十亿
exchange,n.交换
latent,adj.潜在的，潜伏的
reward,n.酬劳，奖赏；回报
pretext,n.借口，托词
herd,n.兽群，牧群
kidnap,v.劫持，绑架
cloud,n.云
textile,n.纺织品
strife,n.冲突
schedule,n.日程安排
beneath,prep.在…的下层，在…底下
labor,n.劳动
mutter,v.嘀咕，抱怨
collective,adj.集体的，共同的
upstairs,adj.楼上的，上层的
cucumber,n.黄瓜
classic,adj.典型的
courage,n.勇气，无畏，胆量
some,det.一些
breath,n.呼吸
know,v.知道
proclaim,v.宣布
accomplish,v.完成
half,adj.一半的
cling,v.紧紧抓住
link,n.联系
impair,v.损伤，削弱
revolt,n.反抗
rake,n.耙子
sin,n.罪，罪恶
denial,n.否认，拒绝
cheque,n.支票
hawk,n.鹰，隼
suite,n.套房
debate,n.辩论，正式讨论
prescription,n.处方（药）
Wednesday,n.星期三
liquid,adj.液体的
decisive,adj.决定性的，关键的
enroll,v.登记
outrage,n.愤怒，愤慨
trial,n.审讯，审判
responsible,adj.有责任的，负责的
scrap,n.碎片
dear,adj.宝贵的，珍视的
conquest,n.征服
action,n.行动
price,n.价格
wild,adj.野生的
bolt,n.插销
with,prep.和…一起
thick,adj.厚的，粗的
comic,adj.滑稽的
involve,v.包含，需要
instrumental,adj.起重要作用的
bald,adj.秃的
proximate,adj.最接近的
anxious,adj.焦虑的
yearly,adj.每年的，年度的
clumsy,adj.笨拙的
gravity,n.严重性
assess,v.评估
superb,adj.极佳的，卓越的
legal,adj.合法的，法定的
stake,n.股份
minority,n.少数
highlight,v.突出，强调
crucial,adj.至关重要的，决定性的
fairly,adv.相当地
frog,n.蛙
sack,n.麻袋
nurse,n.护士
strenuous,adj.费力的
high,adj.高的
rough,adj.粗糙的
writer,n.作家，作者
notable,adj.值得注意的，显著的，重要的
bathroom,n.浴室，卫生间
apply,v.申请
hungry,adj.饥饿的
chancellor,n.总理
carpenter,n.木工，木匠
absurd,adj.荒谬的
ministry,n.（政府的）部
doom,n.死亡
cat,n.猫
pigeon,n.鸽子
lavatory,n.厕所，洗手间
conjunction,n.同时发生
oftentimes,adv.时常，经常
bowel,n.肠
horn,n.喇叭
dramatic,adj.急剧的
swarm,n.一大群，一大批
anger,n.愤怒
breach,n.违背
cause,n.原因
organization,n.机构，组织
thigh,n.大腿
dismiss,v.不予考虑
prohibit,v.禁止
seize,v.抓住
southwest,adj.西南的
material,n.原料
assassinate,v.暗杀，刺杀
slam,v.砰地关上
conceal,v.隐瞒
productivity,n.生产力，生产率
perform,v.履行
not,adv.不，没有
pope,n.教皇
daily,adj.每日的，日常的
book,n.书
satire,n.讽刺（作品）
little,adj.小的
unless,conj.除非，如果不，若非
susceptible,adj.敏感的
sector,n.部门
December,n.十二月
artifact,n.人工制品，手工艺品
lad,n.男孩，小伙子
waste,adj.荒芜的，废弃的
acre,n.英亩
extinct,adj.灭绝的
stem,n.茎，干
learn,v.学习，学会
obscure,adj.模糊的
decay,n.腐烂
roast,v.烤
sauce,n.酱汁，调味汁
stream,n.小河，溪流
acquisition,n.获得
confront,v.正视
lonely,adj.孤独的，寂寞的
productive,adj.多产的
case,n.情况，事例
glare,n.怒视
reference,n.引用
sightseeing,n.观光，游览
peaceful,adj.（爱好）和平的
million,n.百万
accommodation,n.住处
evidence,n.根据
sympathy,n.同情
pond,n.池塘
garage,n.车库
avail,n.益处，效用
tissue,n.（动植物的）组织
scientific,adj.科学的
variety,n.不同种类
character,n.角色
lab,n.实验室
predator,n.捕食者
clockwise,adv.顺时针方向地
suppress,v.镇压
radio,n.收音机
recall,v.记起
motivate,v.成为…的动机
particular,adj.特指的
slight,adj.少量的
perhaps,adv.或许，也许
father,n.父亲
usage,n.使用，用法
algorithm,n.算法
past,adj.过去的
preach,v.布道
institute,n.协会，机构，研究所
logical,adj.合乎逻辑的，合理的
overthrow,n.推翻，打倒，颠覆
performance,n.执行
compassion,n.同情，怜悯
army,n.陆军
hope,n.希望，期望
reassure,v.使安心
university,n.大学
power,n.力量
gasoline,n.汽油
tuition,n.学费
descend,v.下来，下降
discipline,n.纪律
star,n.星，恒星
gene,n.基因
originate,v.起源，发源
dozen,n.十二，一打
shift,v.转移
subtract,v.减去
company,n.公司
straightforward,adj.简单易懂的
position,n.位置
goodbye,int.再见，再会
decrease,v.减少，减弱，降低
nevertheless,adv.尽管如此，然而
appropriate,adj.适当的
element,n.要素
arrive,v.到达
satisfaction,n.满意，满足
strain,v.拉伤，损伤
affection,n.喜爱
underline,v.强调，突出
exhibition,n.展览
everybody,pron.每个人，所有人
nationality,n.国籍
latitude,n.纬度
hat,n.帽子
periodical,n.学术期刊
a,article.一（个）
saw,v.锯
assembly,n.议会
generalize,v.概括，归纳
perpetual,adj.不间断的
potential,n.可能性
nostalgic,adj.怀旧的
dissolve,v.溶解
whisper,v.耳语，小声说
anchor,n.锚
numb,adj.失去知觉的
net,n.网
sour,adj.酸的
identity,n.身份
competitive,adj.竞争的
engine,n.发动机
guess,n.猜测，猜想
unlike,adj.不同的，不像的
soldier,n.军人
knee,n.膝盖，膝关节
run,v.跑
whichever,det.无论哪个
obsession,n.痴迷，着魔
expansion,n.扩大
handsome,adj.帅气的
thousand,num.一千
deprive,v.剥夺，使丧失
tailor,n.裁缝
breakfast,n.早餐
benign,adj.和善的
impose,v.强制实行
band,n.乐队
abdomen,n.腹部
former,adj.以前的
wedding,n.婚礼
repair,v.修理
loss,n.丧失，损失
benevolent,adj.仁慈的，乐善好施的
living room,n.客厅，起居室
scientist,n.科学家
segregate,v.分开
velvet,n.丝绒，天鹅绒
sportswoman,n.女运动员
invite,v.邀请
gamble,v.赌博
overflow,v.溢出
anything,pron.任何事物
earn,v.赢得，赚得
mile,n.英里
sociology,n.社会学
significance,n.意义，含义
limited,adj.有限的，限量的
memo,n.备忘录
pyramid,n.金字塔（结构）
active,adj.活跃的
merchant,n.商人，批发商
dark,adj.黑暗的
relax,v.放松，休息
globe,n.地球，世界
physician,n.（内科）医生
connection,n.关联，联系
global,adj.全世界的
adopt,v.采纳
biography,n.传记
basketball,n.篮球
overt,adj.公开的，明显的
guild,n.协会，行会
surgery,n.外科
useful,adj.有用的
mathematical,adj.数学的
jump,n.跳跃
technology,n.技术，科技
health,n.健康
disperse,v.（使）分散
test,n.测验
hammer,n.锤子
crop,n.收成
overcome,v.克服
burger,n.汉堡包
canal,n.运河
glimpse,n.一瞥
popular,adj.流行的，受欢迎的
intelligible,adj.可理解的，易领悟的
dumb,adj.笨的
fiction,n.小说
missionary,n.传教士
plough,n.犁
comment,n.评论，意见
applicable,adj.适当的
strawberry,n.草莓
artist,n.艺术家
depict,v.描绘
blow,v.吹，刮
controversy,n.争论，争议
augment,v.扩大
would,mod. v.将会
audio,adj.音频的，声音的
continent,n.洲
wisdom,n.智慧
plaintiff,n.原告
income,n.收入，收益，所得
relate,v.联系
census,n.人口普查
contingent,adj.依情况而定的
aloud,adv.出声地，大声地
engagement,n.订婚
refrigerator,n.冰箱
importance,n.重要性，重大
jolly,adj.愉快的，快乐的
cultivate,v.种植
contrary,adj.对立的，相反的
size,n.大小
feeble,adj.虚弱的
refund,n.退款
might,aux. v.可能，可以
pear,n.梨
typical,adj.典型的
successive,adj.连续的，相继的
despite,prep.尽管，即使
condition,n.状态
virus,n.病毒
statesman,n.政治家
posture,n.姿势，仪态
swell,v.肿胀
dialect,n.方言
submerge,v.淹没
appearance,n.外观
session,n.一段时间
accident,n.意外
giant,adj.巨大的
insect,n.昆虫
cathedral,n.大教堂
prefer,v.更喜欢，偏好
imitation,n.模仿
air conditioning,n.空调系统
pub,n.酒吧，酒馆
notorious,adj.臭名昭著的，声名狼藉的
scan,v.扫描
sneak,v.偷偷地做
status,n.地位，身份
influenza,n.流感
homework,n.家庭作业
peculiar,adj.古怪的
married,adj.已婚的
symphony,n.交响乐
illusion,n.错觉，幻觉，幻想
open,adj.开着的
deem,v.认为，视为，相信
look,v.看
congratulate,v.祝贺
foolish,adj.愚蠢的
warfare,n.战争
guideline,n.指导方针，准则
hunt,v.打猎，猎杀
carrot,n.胡萝卜
enormous,adj.巨大的，庞大的
challenge,n.挑战，考验
pit,n.洞
cellar,n.地窖，地下室
talent,n.天赋
interview,n.面试
bowling,n.保龄球
east,adj.东方的
weigh,v.称重量
sir,n.先生
cool,adj.凉爽的
teenager,n.青少年
discretion,n.审慎
preference,n.偏好
fly,v.飞
season,n.季节
tick,v.滴答响
noon,n.中午，正午
attribute,v.把…归因于
